fase;nombre;
1;Agents of S.H.I.E.L.D.;
1;Agent Carter;
1;Daredevil;
2;Jessica Jones;
2;Luke Cage;
2;Iron Fist;
3;The Defenders;
3;Inhumans;
3;The Punisher;
3;Runaways;
3;Cloak & Dagger;
4;WandaVision;
4;The Falcon and the Winter Soldier;
4;Loki;
4;What If...?;
4;Hawkeye;
4;Moon Knight;
1;Iron Man;
1;The Incredible Hulk;
1;Iron Man 2;
1;Thor;
1;Captain America: The First Avenger;
1;The Avengers;
2;Iron Man 3;
2;Thor: The Dark World;
2;Captain America: The Winter Soldier;
2;Guardians of the Galaxy;
2;Avengers: Age of Ultron;
2;Ant-Man;
3;Captain America: Civil War;
3;Doctor Strange;
3;Guardians of the Galaxy Vol. 2;
3;Spider-Man: Homecoming;
3;Thor: Ragnarok;
3;Black Panther;
3;Avengers: Infinity War;
3;Ant-Man and the Wasp;
3;Captain Marvel;
3;Avengers: Endgame;
3;Spider-Man: Far From Home;
4;Black Widow;
4;Shang-Chi and the Legend of the Ten Rings;
4;Eternals;
4;Spider-Man: No Way Home;
;;
