Película;Estreno;Ingreso Mundial;Ingreso Mundial Redondeado;IMDb de la Película;;;;;;
Iron Man;2008;$585,174,222;$585,2 Millones;7.9;;;;;;
The Incredible Hulk;2008;$263 427 551;$263,4 Millones;6.6;;;;;;
Iron Man 2;2010;$623,933,331;$623,9 Millones;7.0;;;;;;
Thor;2011;$449,326,618;$449,3 Millones;7.0;;;;;;
Captain America: The First Avenger;2011;$370,569,774;$370,6 Millones;6.9;;;;;;
The Avengers;2012;$1,518,812,988;$1,5 Mil Millones;8.0;;;;;;
Iron Man 3;2013;$1,214,811,252;$1,2 Mil Millones;7.1;;;;;;
Thor: The Dark World;2013;$644,571,402;$644,6 Millones;6.8;;;;;;
Captain America: The Winter Soldier;2014;$714,264,267;$714,3 Millones;7.7;;;;;;
Guardians of the Galaxy;2014;$773,328,629;$773,3 Millones;7.6;;;;;;
Avengers: Age of Ultron;2015;$1,405,403,694;$1,4 Mil Millones;7.3;;;;;;
Ant-Man;2015;$519,311,965;$519,3 Millones;7.3;;;;;;
Captain America: Civil War;2016;$1,153,304,495;$1,2 Mil Millones;7.8;;;;;;
Doctor Strange;2016;$677,718,395;$677,7 Millones;7.5;;;;;;
Guardians of the Galaxy Vol. 2;2017;$863,756,051;$863,8 Millones;7.6;;;;;;
Spider-Man: Homecoming;2017;$880,166,924;$880,2 Millones;7.4;;;;;;
Thor: Ragnarok;2017;$853,977,126;$854  Millones;7.9;;;;;;
Black Panther;2018;$1,346,913,161;$1,3 Mil Millones;7.3;;;;;;
Avengers: Infinity War;2018;$2,048,359,754;$2,0 Mil Millones;8.4;;;;;;
Ant-Man and the Wasp;2018;$622,674,139;$622,7 Millones;7.0;;;;;;
Captain Marvel;2019;$1,128,274,794;$1,1 Mil Millones;6.8;;;;;;
Avengers: Endgame;2019;$2,798,274,401;$2,8 Mil Millones;8.4;;;;;;
Spider-Man: Far From Home;2019;$1,131,524,267;$1,1 Mil Millones;7.4;;;;;;
Black Widow;2021;$504,751,655;$504,8 Millones;6.8;;;;;;
Shang-Chi and the Legend of the Ten Rings;2021;$432,243,292;$432,2 Millones;7.5;;;;;;
Eternals;2021;$402,064,899;$402  Millones;6.5;;;;;;
Spider-Man: No Way Home;2021;$1,892,416,709;$1,9 Mil Millones;8.7;;;;;;
Todas las películas;hasta 2021;$25,816,926,755;25, 8 Mil Millones;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
